ACCESSION,CLASS,MGE NAME,ORGANISMS
ICEberg|148|SXT(HN1)|GenBank|AB450045|1..19086,ICE,SXT(HN1),Vibrio cholerae O1 biovar El Tor
ICEberg|167|Tn6111|GenBank|JF422669|1..701,ICE,Tn6111,Clostridioides difficile
ICEberg|168|Tn6110|GenBank|JF422668|1..701,ICE,Tn6110,Clostridioides difficile
ICEberg|169|Tn6107|GenBank|JF422667|1..464,ICE,Tn6107,Clostridioides difficile
ICEberg|170|Tn6103|GenBank|JF422666|1..800,ICE,Tn6103,Clostridioides difficile R20291
ICEberg|171|Tn6073|GenBank|JF422665|1..761,ICE,Tn6073,Clostridioides difficile
ICEberg|243|ICELlapAA211|GenBank|DQ060148|1..2630,ICE,ICELlapAA211,Lactococcus lactis subsp. lactis
ICEberg|244|ICELlapAA291|GenBank|DQ060147|1..2630,ICE,ICELlapAA291,Lactococcus lactis subsp. lactis
ICEberg|245|ICESau8797|GenBank|EU918661|1..2607,ICE,ICESau8797,Staphylococcus aureus
ICEberg|246|ICESau21995|GenBank|EU918662|1..2607,ICE,ICESau21995,Staphylococcus aureus
ICEberg|247|ICESau35366|GenBank|EU918668|1..2606,ICE,ICESau35366,Staphylococcus aureus
ICEberg|248|ICESau7413093|GenBank|EU918679|1..2604,ICE,ICESau7413093,Staphylococcus aureus
ICEberg|249|ICESau7512166|GenBank|EU918684|1..2606,ICE,ICESau7512166,Staphylococcus aureus
ICEberg|250|ICESau7312330|GenBank|EU918677|1..2600,ICE,ICESau7312330,Staphylococcus aureus
ICEberg|251|ICESau9877324|GenBank|EU918671|1..2599,ICE,ICESau9877324,Staphylococcus aureus
ICEberg|253|ICESau7412791|GenBank|EU918678|1..2598,ICE,ICESau7412791,Staphylococcus aureus
ICEberg|256|ICESau7711730|GenBank|EU918690|1..2596,ICE,ICESau7711730,Staphylococcus aureus
ICEberg|257|ICESau7413714|GenBank|EU918681|1..2595,ICE,ICESau7413714,Staphylococcus aureus
ICEberg|258|ICESau7512986|GenBank|EU918685|1..2594,ICE,ICESau7512986,Staphylococcus aureus
ICEberg|259|ICESau7612628|GenBank|EU918689|1..2593,ICE,ICESau7612628,Staphylococcus aureus
ICEberg|260|ICESau35414|GenBank|EU918669|1..2596,ICE,ICESau35414,Staphylococcus aureus
ICEberg|261|ICESau1591|GenBank|EU918654|1..2599,ICE,ICESau1591,Staphylococcus aureus
ICEberg|262|ICESauST398|GenBank|EU918691|1..2588,ICE,ICESauST398,Staphylococcus aureus
ICEberg|263|ICESau34801|GenBank|EU918667|1..2600,ICE,ICESau34801,Staphylococcus aureus
ICEberg|264|ICESau617|GenBank|EU918653|1..2596,ICE,ICESau617,Staphylococcus aureus
ICEberg|266|ICESauusa42|GenBank|EU918673|1..2542,ICE,ICESauusa42,Staphylococcus aureus
ICEberg|267|ICESau7611280|GenBank|EU918686|1..2536,ICE,ICESau7611280,Staphylococcus aureus
ICEberg|268|ICESau7215190|GenBank|EU918674|1..2535,ICE,ICESau7215190,Staphylococcus aureus
ICEberg|270|ICESau5331|GenBank|EU918659|1..2598,ICE,ICESau5331,Staphylococcus aureus
ICEberg|273|SXT(KN14)|GenBank|AB535680|1..20747,ICE,SXT(KN14),Vibrio cholerae O1 biovar El Tor
ICEberg|287|ICEEcoJ53|GenBank|FJ968160|1..22687,ICE,ICEEcoJ53,Escherichia coli
ICEberg|330|Tn3872|GenBank|AM411624|1..4357,ICE,Tn3872,Streptococcus pyogenes
ICEberg|362|Tn1311|GenBank|FN667862|1..75303,ICE,Tn1311,Streptococcus pneumoniae
ICEberg|363|ICESpnA213|GenBank|FM201786|1..67819,ICE,ICESpnA213,Streptococcus pneumoniae
ICEberg|371|Tn5252-like|GenBank|FM178797|1..8966,ICE,Tn5252-like,Streptococcus pneumoniae
ICEberg|383|ICEEfa9830414|GenBank|DQ206711|1..5069,ICE,ICEEfa9830414,Enterococcus faecium
ICEberg|214|AICESco3250|GenBank|AL645882|3602684..3616798,ICE,AICESco3250,Streptomyces coelicolor A3(2)
ICEberg|215|AICESco5349|GenBank|AL645882|5796736..5818720,ICE,AICESco5349,Streptomyces coelicolor A3(2)
ICEberg|394|Tn6098|GenBank|CP001834|2295682..2347036,ICE,Tn6098,Lactococcus lactis subsp. lactis KF147
ICEberg|180|ICEKpnHS11286-1|GenBank|CP003200|3433546..3495775,ICE,ICEKpnHS11286-1,Klebsiella pneumoniae subsp. pneumoniae HS11286
ICEberg|437|ICEKpnHS11286-2|GenBank|CP003200|4502837..4558879,ICE,ICEKpnHS11286-2,Klebsiella pneumoniae subsp. pneumoniae HS11286
ICEberg|855|Tn1549-like|GenBank|KU558763|1..42375,ICE,Tn1549-like,Clostridioides difficile
ICEberg|860|Tn6194[CTnCD11]|GenBank|FN665654|3131167..3139326,ICE,Tn6194[CTnCD11],Clostridioides difficile 2007855
ICEberg|861|Tn6194-like|GenBank|HG475346|1..28014,ICE,Tn6194-like,Clostridioides difficile
