GENE,TYPE,DATABASE
gene:plasmid:126184,PLASMID,ACLAME
gene:plasmid:126185,PLASMID,ACLAME
gene:plasmid:126188,PLASMID,ACLAME
gene:plasmid:126189,PLASMID,ACLAME
gene:plasmid:126190,PLASMID,ACLAME
gene:plasmid:126191,PLASMID,ACLAME
gene:plasmid:126195,PLASMID,ACLAME
gene:plasmid:126196,PLASMID,ACLAME
gene:plasmid:126197,PLASMID,ACLAME
gene:plasmid:126198,PLASMID,ACLAME
gene:plasmid:126199,PLASMID,ACLAME
gene:plasmid:126207,PLASMID,ACLAME
gene:plasmid:126208,PLASMID,ACLAME
gene:plasmid:126209,PLASMID,ACLAME
gene:plasmid:126210,PLASMID,ACLAME
gene:plasmid:126212,PLASMID,ACLAME
gene:plasmid:126213,PLASMID,ACLAME
gene:plasmid:126214,PLASMID,ACLAME
gene:plasmid:126215,PLASMID,ACLAME
gene:plasmid:126216,PLASMID,ACLAME
gene:plasmid:126219,PLASMID,ACLAME
gene:plasmid:126220,PLASMID,ACLAME
gene:plasmid:126221,PLASMID,ACLAME
gene:plasmid:126222,PLASMID,ACLAME
gene:plasmid:126223,PLASMID,ACLAME
gene:plasmid:126227,PLASMID,ACLAME
gene:plasmid:126228,PLASMID,ACLAME
gene:plasmid:126229,PLASMID,ACLAME
gene:plasmid:126230,PLASMID,ACLAME
gene:plasmid:126231,PLASMID,ACLAME
gene:plasmid:126233,PLASMID,ACLAME
gene:plasmid:126234,PLASMID,ACLAME
gene:plasmid:126236,PLASMID,ACLAME
gene:plasmid:126237,PLASMID,ACLAME
gene:plasmid:126238,PLASMID,ACLAME
gene:plasmid:126239,PLASMID,ACLAME
gene:plasmid:126240,PLASMID,ACLAME
gene:plasmid:126244,PLASMID,ACLAME
gene:plasmid:126245,PLASMID,ACLAME
gene:plasmid:126285,PLASMID,ACLAME
gene:plasmid:126287,PLASMID,ACLAME
gene:plasmid:126289,PLASMID,ACLAME
gene:plasmid:126290,PLASMID,ACLAME
gene:plasmid:126291,PLASMID,ACLAME
gene:plasmid:126293,PLASMID,ACLAME
gene:plasmid:126294,PLASMID,ACLAME
gene:plasmid:126295,PLASMID,ACLAME
gene:plasmid:126298,PLASMID,ACLAME
gene:plasmid:126299,PLASMID,ACLAME
gene:plasmid:126307,PLASMID,ACLAME
gene:plasmid:126308,PLASMID,ACLAME
gene:plasmid:126309,PLASMID,ACLAME
gene:plasmid:126312,PLASMID,ACLAME
gene:plasmid:126314,PLASMID,ACLAME
gene:plasmid:126315,PLASMID,ACLAME
gene:plasmid:126316,PLASMID,ACLAME
gene:plasmid:126318,PLASMID,ACLAME
gene:plasmid:126321,PLASMID,ACLAME
gene:plasmid:126334,PLASMID,ACLAME
gene:plasmid:126346,PLASMID,ACLAME
gene:plasmid:126378,TE,ACLAME
gene:plasmid:126822,PLASMID,ACLAME
gene:plasmid:126912,PLASMID,ACLAME
gene:plasmid:126931,PLASMID,ACLAME
gene:plasmid:126932,PLASMID,ACLAME
gene:plasmid:126936,PLASMID,ACLAME
gene:plasmid:126968,PLASMID,ACLAME
gene:plasmid:126975,PLASMID,ACLAME
gene:plasmid:126986,PLASMID,ACLAME
gene:plasmid:126989,PLASMID,ACLAME
gene:plasmid:126997,PLASMID,ACLAME
gene:plasmid:126999,PLASMID,ACLAME
gene:plasmid:127078,PLASMID,ACLAME
gene:plasmid:127159,PLASMID,ACLAME
gene:plasmid:127160,PLASMID,ACLAME
gene:plasmid:127163,PLASMID,ACLAME
gene:plasmid:127164,PLASMID,ACLAME
gene:plasmid:127167,PLASMID,ACLAME
gene:plasmid:127168,PLASMID,ACLAME
gene:plasmid:127172,PLASMID,ACLAME
gene:plasmid:127173,PLASMID,ACLAME
gene:plasmid:127174,PLASMID,ACLAME
gene:plasmid:127175,PLASMID,ACLAME
gene:plasmid:127176,PLASMID,ACLAME
gene:plasmid:127177,PLASMID,ACLAME
gene:plasmid:127186,PLASMID,ACLAME
gene:plasmid:127190,PLASMID,ACLAME
gene:plasmid:127194,PLASMID,ACLAME
gene:plasmid:127196,PLASMID,ACLAME
gene:plasmid:127203,PLASMID,ACLAME
gene:plasmid:127220,PLASMID,ACLAME
gene:plasmid:127223,PLASMID,ACLAME
gene:plasmid:127225,PLASMID,ACLAME
gene:plasmid:127226,PLASMID,ACLAME
gene:plasmid:127227,PLASMID,ACLAME
gene:plasmid:127228,PLASMID,ACLAME
gene:plasmid:127229,PLASMID,ACLAME
gene:plasmid:127230,PLASMID,ACLAME
gene:plasmid:127231,PLASMID,ACLAME
gene:plasmid:127232,PLASMID,ACLAME
gene:plasmid:127233,PLASMID,ACLAME
gene:plasmid:127234,PLASMID,ACLAME
gene:plasmid:127235,PLASMID,ACLAME
gene:plasmid:127252,PLASMID,ACLAME
gene:plasmid:127253,PLASMID,ACLAME
gene:plasmid:127260,PLASMID,ACLAME
gene:plasmid:127261,PLASMID,ACLAME
gene:plasmid:127262,PLASMID,ACLAME
gene:plasmid:127263,PLASMID,ACLAME
gene:plasmid:127264,PLASMID,ACLAME
gene:plasmid:127265,PLASMID,ACLAME
gene:plasmid:127267,PLASMID,ACLAME
gene:plasmid:127269,PLASMID,ACLAME
gene:plasmid:127271,PLASMID,ACLAME
gene:plasmid:127272,PLASMID,ACLAME
gene:plasmid:127281,PLASMID,ACLAME
gene:plasmid:127285,PLASMID,ACLAME
gene:plasmid:127287,PLASMID,ACLAME
gene:plasmid:127291,PLASMID,ACLAME
gene:plasmid:127292,PLASMID,ACLAME
gene:plasmid:127293,PLASMID,ACLAME
gene:plasmid:127297,PLASMID,ACLAME
gene:plasmid:127298,PLASMID,ACLAME
gene:plasmid:127310,PLASMID,ACLAME
gene:plasmid:127337,PLASMID,ACLAME
gene:plasmid:127342,PLASMID,ACLAME
gene:plasmid:127344,PLASMID,ACLAME
gene:plasmid:127345,PLASMID,ACLAME
gene:plasmid:127347,PLASMID,ACLAME
gene:plasmid:127356,PLASMID,ACLAME
gene:plasmid:127362,PLASMID,ACLAME
gene:plasmid:127363,PLASMID,ACLAME
gene:plasmid:127372,PLASMID,ACLAME
gene:plasmid:127376,PLASMID,ACLAME
gene:plasmid:127378,PLASMID,ACLAME
gene:plasmid:127380,PLASMID,ACLAME
gene:plasmid:127389,PLASMID,ACLAME
gene:plasmid:127395,PLASMID,ACLAME
gene:plasmid:127399,PLASMID,ACLAME
gene:plasmid:127404,PLASMID,ACLAME
gene:plasmid:127405,PLASMID,ACLAME
gene:plasmid:127407,PLASMID,ACLAME
gene:plasmid:127412,PLASMID,ACLAME
gene:plasmid:127413,PLASMID,ACLAME
gene:plasmid:127414,PLASMID,ACLAME
gene:plasmid:127420,PLASMID,ACLAME
gene:plasmid:127422,PLASMID,ACLAME
gene:plasmid:127446,PLASMID,ACLAME
gene:plasmid:127453,PLASMID,ACLAME
gene:plasmid:127460,PLASMID,ACLAME
gene:plasmid:127461,PLASMID,ACLAME
gene:plasmid:127463,PLASMID,ACLAME
gene:plasmid:127464,AMR,ACLAME
gene:plasmid:127529,PLASMID,ACLAME
gene:plasmid:127530,PLASMID,ACLAME
gene:plasmid:127535,PLASMID,ACLAME
gene:plasmid:127542,PLASMID,ACLAME
gene:plasmid:127543,PLASMID,ACLAME
gene:plasmid:127545,PLASMID,ACLAME
gene:plasmid:127546,PLASMID,ACLAME
gene:plasmid:127547,PLASMID,ACLAME
gene:plasmid:127548,PLASMID,ACLAME
gene:plasmid:127549,PLASMID,ACLAME
gene:plasmid:127550,PLASMID,ACLAME
gene:plasmid:127555,TE,ACLAME
gene:plasmid:127556,PLASMID,ACLAME
gene:plasmid:127558,VIRUS,ACLAME
gene:plasmid:127564,VIRUS,ACLAME
gene:plasmid:127569,PLASMID,ACLAME
gene:plasmid:127570,PLASMID,ACLAME
gene:plasmid:127578,PLASMID,ACLAME
gene:plasmid:127579,PLASMID,ACLAME
gene:plasmid:127581,PLASMID,ACLAME
gene:plasmid:127582,PLASMID,ACLAME
gene:plasmid:127583,PLASMID,ACLAME
gene:plasmid:127584,VIRUS,ACLAME
gene:plasmid:127596,PLASMID,ACLAME
gene:plasmid:127603,PLASMID,ACLAME
gene:plasmid:127610,PLASMID,ACLAME
gene:plasmid:127628,PLASMID,ACLAME
gene:plasmid:127629,PLASMID,ACLAME
gene:plasmid:127644,PLASMID,ACLAME
gene:plasmid:127652,PLASMID,ACLAME
gene:plasmid:127668,PLASMID,ACLAME
gene:plasmid:127711,PLASMID,ACLAME
gene:plasmid:127717,PLASMID,ACLAME
gene:plasmid:127719,PLASMID,ACLAME
gene:plasmid:127742,PLASMID,ACLAME
gene:plasmid:127746,PLASMID,ACLAME
gene:plasmid:127760,PLASMID,ACLAME
gene:plasmid:127763,PLASMID,ACLAME
gene:plasmid:127785,PLASMID,ACLAME
gene:plasmid:127786,PLASMID,ACLAME
gene:plasmid:127795,PLASMID,ACLAME
gene:plasmid:127817,PLASMID,ACLAME
gene:plasmid:127820,PLASMID,ACLAME
gene:plasmid:127822,PLASMID,ACLAME
gene:plasmid:127832,PLASMID,ACLAME
gene:plasmid:127851,PLASMID,ACLAME
gene:plasmid:127863,PLASMID,ACLAME
gene:plasmid:127864,PLASMID,ACLAME
gene:plasmid:127867,PLASMID,ACLAME
gene:plasmid:127868,IS,ACLAME
gene:plasmid:127870,PLASMID,ACLAME
gene:plasmid:127871,PLASMID,ACLAME
gene:plasmid:127873,PLASMID,ACLAME
gene:plasmid:127874,PLASMID,ACLAME
gene:plasmid:127875,PLASMID,ACLAME
gene:plasmid:127878,PLASMID,ACLAME
gene:plasmid:127879,PLASMID,ACLAME
gene:plasmid:12788,PLASMID,ACLAME
gene:plasmid:127880,PLASMID,ACLAME
gene:plasmid:127888,PLASMID,ACLAME
gene:plasmid:127894,PLASMID,ACLAME
gene:plasmid:127897,PLASMID,ACLAME
gene:plasmid:127898,PLASMID,ACLAME
gene:plasmid:127911,PLASMID,ACLAME
gene:plasmid:127917,PLASMID,ACLAME
gene:plasmid:127918,PLASMID,ACLAME
gene:plasmid:127921,PLASMID,ACLAME
gene:plasmid:127940,PLASMID,ACLAME
gene:plasmid:127954,PLASMID,ACLAME
gene:plasmid:128025,PLASMID,ACLAME
gene:plasmid:128027,PLASMID,ACLAME
gene:plasmid:128028,PLASMID,ACLAME
gene:plasmid:128029,PLASMID,ACLAME
gene:plasmid:128046,PLASMID,ACLAME
gene:plasmid:128047,PLASMID,ACLAME
gene:plasmid:128049,PLASMID,ACLAME
gene:plasmid:128058,PLASMID,ACLAME
gene:plasmid:128059,PLASMID,ACLAME
gene:plasmid:128065,PLASMID,ACLAME
gene:plasmid:128066,PLASMID,ACLAME
gene:plasmid:128067,PLASMID,ACLAME
gene:plasmid:128068,PLASMID,ACLAME
gene:plasmid:128070,PLASMID,ACLAME
gene:plasmid:128071,PLASMID,ACLAME
gene:plasmid:128072,PLASMID,ACLAME
gene:plasmid:128074,PLASMID,ACLAME
gene:plasmid:128075,PLASMID,ACLAME
gene:plasmid:128079,PLASMID,ACLAME
gene:plasmid:128083,PLASMID,ACLAME
gene:plasmid:128084,PLASMID,ACLAME
gene:plasmid:128086,PLASMID,ACLAME
gene:plasmid:128087,PLASMID,ACLAME
gene:plasmid:128095,PLASMID,ACLAME
gene:plasmid:128108,PLASMID,ACLAME
gene:plasmid:128109,PLASMID,ACLAME
gene:plasmid:128110,PLASMID,ACLAME
gene:plasmid:128119,PLASMID,ACLAME
gene:plasmid:128123,PLASMID,ACLAME
gene:plasmid:128124,PLASMID,ACLAME
gene:plasmid:128125,PLASMID,ACLAME
gene:plasmid:128128,PLASMID,ACLAME
gene:plasmid:128129,PLASMID,ACLAME
gene:plasmid:128130,PLASMID,ACLAME
gene:plasmid:128131,PLASMID,ACLAME
gene:plasmid:128139,PLASMID,ACLAME
gene:plasmid:128141,PLASMID,ACLAME
gene:plasmid:128142,PLASMID,ACLAME
gene:plasmid:128143,PLASMID,ACLAME
gene:plasmid:128146,PLASMID,ACLAME
gene:plasmid:128148,PLASMID,ACLAME
gene:plasmid:128150,PLASMID,ACLAME
gene:plasmid:128151,PLASMID,ACLAME
gene:plasmid:128152,PLASMID,ACLAME
gene:plasmid:128153,PLASMID,ACLAME
gene:plasmid:128154,PLASMID,ACLAME
gene:plasmid:128161,PLASMID,ACLAME
gene:plasmid:128162,PLASMID,ACLAME
gene:plasmid:128163,PLASMID,ACLAME
gene:plasmid:128164,PLASMID,ACLAME
gene:plasmid:128165,PLASMID,ACLAME
gene:plasmid:128166,PLASMID,ACLAME
gene:plasmid:128167,PLASMID,ACLAME
gene:plasmid:128170,PLASMID,ACLAME
gene:plasmid:128173,PLASMID,ACLAME
gene:plasmid:128175,PLASMID,ACLAME
gene:plasmid:128176,PLASMID,ACLAME
gene:plasmid:128177,PLASMID,ACLAME
gene:plasmid:128178,PLASMID,ACLAME
gene:plasmid:128179,PLASMID,ACLAME
gene:plasmid:128180,PLASMID,ACLAME
gene:plasmid:128190,PLASMID,ACLAME
gene:plasmid:128192,PLASMID,ACLAME
gene:plasmid:128193,PLASMID,ACLAME
gene:plasmid:128194,PLASMID,ACLAME
gene:plasmid:128196,PLASMID,ACLAME
gene:plasmid:128198,PLASMID,ACLAME
gene:plasmid:128205,AMR,ACLAME
gene:plasmid:128227,PLASMID,ACLAME
gene:plasmid:128233,PLASMID,ACLAME
gene:plasmid:128235,PLASMID,ACLAME
gene:plasmid:128255,PLASMID,ACLAME
gene:plasmid:128257,PLASMID,ACLAME
gene:plasmid:128261,PLASMID,ACLAME
gene:plasmid:128271,PLASMID,ACLAME
gene:plasmid:128272,PLASMID,ACLAME
gene:plasmid:128279,PLASMID,ACLAME
gene:plasmid:128299,PLASMID,ACLAME
gene:plasmid:128302,PLASMID,ACLAME
gene:plasmid:128303,PLASMID,ACLAME
gene:plasmid:128314,PLASMID,ACLAME
gene:plasmid:128321,PLASMID,ACLAME
gene:plasmid:128326,PLASMID,ACLAME
gene:plasmid:128337,PLASMID,ACLAME
gene:plasmid:128341,PLASMID,ACLAME
gene:plasmid:128355,PLASMID,ACLAME
gene:plasmid:128363,PLASMID,ACLAME
gene:plasmid:128365,PLASMID,ACLAME
gene:plasmid:128367,PLASMID,ACLAME
gene:plasmid:128386,PLASMID,ACLAME
gene:plasmid:128393,PLASMID,ACLAME
gene:plasmid:128424,PLASMID,ACLAME
gene:plasmid:128431,PLASMID,ACLAME
gene:plasmid:128445,PLASMID,ACLAME
gene:plasmid:128454,PLASMID,ACLAME
gene:plasmid:128468,PLASMID,ACLAME
gene:plasmid:128471,PLASMID,ACLAME
gene:plasmid:12850,PLASMID,ACLAME
gene:plasmid:128511,PLASMID,ACLAME
gene:plasmid:128518,PLASMID,ACLAME
gene:plasmid:128524,PLASMID,ACLAME
gene:plasmid:128553,PLASMID,ACLAME
gene:plasmid:128562,PLASMID,ACLAME
gene:plasmid:128633,PLASMID,ACLAME
gene:plasmid:128634,PLASMID,ACLAME
gene:plasmid:128644,PLASMID,ACLAME
gene:plasmid:128713,PLASMID,ACLAME
gene:plasmid:128727,PLASMID,ACLAME
gene:plasmid:129005,TE,ACLAME
gene:plasmid:129022,AMR,ACLAME
gene:plasmid:129023,AMR,ACLAME
gene:plasmid:129033,PLASMID,ACLAME
gene:plasmid:129034,PLASMID,ACLAME
gene:plasmid:129035,PLASMID,ACLAME
gene:plasmid:129036,PLASMID,ACLAME
gene:plasmid:129059,PLASMID,ACLAME
gene:plasmid:129063,PLASMID,ACLAME
gene:plasmid:129146,PLASMID,ACLAME
gene:plasmid:129155,PLASMID,ACLAME
gene:plasmid:129187,PLASMID,ACLAME
gene:plasmid:129193,PLASMID,ACLAME
gene:plasmid:129195,PLASMID,ACLAME
gene:plasmid:129196,PLASMID,ACLAME
gene:plasmid:129208,AMR,ACLAME
gene:plasmid:129212,PLASMID,ACLAME
gene:plasmid:129213,PLASMID,ACLAME
gene:plasmid:129214,PLASMID,ACLAME
gene:plasmid:129216,PLASMID,ACLAME
gene:plasmid:129217,PLASMID,ACLAME
gene:plasmid:129220,PLASMID,ACLAME
gene:plasmid:129221,PLASMID,ACLAME
gene:plasmid:129222,PLASMID,ACLAME
gene:plasmid:129223,PLASMID,ACLAME
gene:plasmid:129224,PLASMID,ACLAME
gene:plasmid:129225,PLASMID,ACLAME
gene:plasmid:129226,PLASMID,ACLAME
gene:plasmid:129227,PLASMID,ACLAME
gene:plasmid:129229,PLASMID,ACLAME
gene:plasmid:129232,PLASMID,ACLAME
gene:plasmid:129234,PLASMID,ACLAME
gene:plasmid:129235,PLASMID,ACLAME
gene:plasmid:129236,PLASMID,ACLAME
gene:plasmid:129237,PLASMID,ACLAME
gene:plasmid:129238,PLASMID,ACLAME
gene:plasmid:129242,PLASMID,ACLAME
gene:plasmid:129243,PLASMID,ACLAME
gene:plasmid:129244,PLASMID,ACLAME
gene:plasmid:129246,PLASMID,ACLAME
gene:plasmid:129248,PLASMID,ACLAME
gene:plasmid:129249,PLASMID,ACLAME
gene:plasmid:129250,PLASMID,ACLAME
gene:plasmid:129251,PLASMID,ACLAME
gene:plasmid:129254,PLASMID,ACLAME
gene:plasmid:129255,PLASMID,ACLAME
gene:plasmid:129256,PLASMID,ACLAME
gene:plasmid:129257,PLASMID,ACLAME
gene:plasmid:129258,PLASMID,ACLAME
gene:plasmid:129259,PLASMID,ACLAME
gene:plasmid:129260,PLASMID,ACLAME
gene:plasmid:129261,PLASMID,ACLAME
gene:plasmid:129262,PLASMID,ACLAME
gene:plasmid:129268,PLASMID,ACLAME
gene:plasmid:129269,PLASMID,ACLAME
gene:plasmid:129270,PLASMID,ACLAME
gene:plasmid:129271,PLASMID,ACLAME
gene:plasmid:129272,PLASMID,ACLAME
gene:plasmid:129273,PLASMID,ACLAME
gene:plasmid:129274,PLASMID,ACLAME
gene:plasmid:129275,PLASMID,ACLAME
gene:plasmid:129276,PLASMID,ACLAME
gene:plasmid:129279,PLASMID,ACLAME
gene:plasmid:129281,PLASMID,ACLAME
gene:plasmid:129282,PLASMID,ACLAME
gene:plasmid:129283,PLASMID,ACLAME
gene:plasmid:129285,PLASMID,ACLAME
gene:plasmid:129286,PLASMID,ACLAME
gene:plasmid:129288,PLASMID,ACLAME
gene:plasmid:129289,PLASMID,ACLAME
gene:plasmid:129290,PLASMID,ACLAME
gene:plasmid:129291,PLASMID,ACLAME
gene:plasmid:129292,PLASMID,ACLAME
gene:plasmid:129293,PLASMID,ACLAME
gene:plasmid:129294,PLASMID,ACLAME
gene:plasmid:129295,PLASMID,ACLAME
gene:plasmid:129296,PLASMID,ACLAME
gene:plasmid:129300,PLASMID,ACLAME
gene:plasmid:129301,PLASMID,ACLAME
gene:plasmid:129304,PLASMID,ACLAME
gene:plasmid:129307,PLASMID,ACLAME
gene:plasmid:129309,PLASMID,ACLAME
gene:plasmid:129310,PLASMID,ACLAME
gene:plasmid:129311,PLASMID,ACLAME
gene:plasmid:129312,PLASMID,ACLAME
gene:plasmid:129313,PLASMID,ACLAME
gene:plasmid:129314,PLASMID,ACLAME
gene:plasmid:129315,PLASMID,ACLAME
gene:plasmid:129317,PLASMID,ACLAME
gene:plasmid:129318,PLASMID,ACLAME
gene:plasmid:129319,PLASMID,ACLAME
gene:plasmid:129321,PLASMID,ACLAME
gene:plasmid:129322,PLASMID,ACLAME
gene:plasmid:129324,PLASMID,ACLAME
gene:plasmid:129325,PLASMID,ACLAME
gene:plasmid:129327,PLASMID,ACLAME
gene:plasmid:129329,PLASMID,ACLAME
gene:plasmid:129330,PLASMID,ACLAME
gene:plasmid:129331,PLASMID,ACLAME
gene:plasmid:129332,PLASMID,ACLAME
gene:plasmid:129334,PLASMID,ACLAME
gene:plasmid:129336,PLASMID,ACLAME
gene:plasmid:129337,PLASMID,ACLAME
gene:plasmid:129338,PLASMID,ACLAME
gene:plasmid:129339,PLASMID,ACLAME
gene:plasmid:129340,PLASMID,ACLAME
gene:plasmid:129341,PLASMID,ACLAME
gene:plasmid:129342,PLASMID,ACLAME
gene:plasmid:129347,PLASMID,ACLAME
gene:plasmid:129350,PLASMID,ACLAME
gene:plasmid:129351,PLASMID,ACLAME
gene:plasmid:129352,PLASMID,ACLAME
gene:plasmid:129355,PLASMID,ACLAME
gene:plasmid:129358,PLASMID,ACLAME
gene:plasmid:129359,PLASMID,ACLAME
gene:plasmid:129360,PLASMID,ACLAME
gene:plasmid:129361,PLASMID,ACLAME
gene:plasmid:129362,PLASMID,ACLAME
gene:plasmid:129370,PLASMID,ACLAME
gene:plasmid:129373,PLASMID,ACLAME
gene:plasmid:129376,PLASMID,ACLAME
gene:plasmid:129377,PLASMID,ACLAME
gene:plasmid:129378,PLASMID,ACLAME
gene:plasmid:129380,PLASMID,ACLAME
gene:plasmid:129381,PLASMID,ACLAME
gene:plasmid:129382,PLASMID,ACLAME
gene:plasmid:129383,PLASMID,ACLAME
gene:plasmid:129384,PLASMID,ACLAME
gene:plasmid:129388,PLASMID,ACLAME
gene:plasmid:129389,PLASMID,ACLAME
gene:plasmid:129390,PLASMID,ACLAME
gene:plasmid:129391,PLASMID,ACLAME
gene:plasmid:129393,PLASMID,ACLAME
gene:plasmid:129397,PLASMID,ACLAME
gene:plasmid:129398,PLASMID,ACLAME
gene:plasmid:129399,PLASMID,ACLAME
gene:plasmid:129400,PLASMID,ACLAME
gene:plasmid:129401,PLASMID,ACLAME
gene:plasmid:129402,PLASMID,ACLAME
gene:plasmid:129403,PLASMID,ACLAME
gene:plasmid:129404,PLASMID,ACLAME
gene:plasmid:129405,PLASMID,ACLAME
gene:plasmid:129408,PLASMID,ACLAME
gene:plasmid:129409,PLASMID,ACLAME
gene:plasmid:129413,PLASMID,ACLAME
gene:plasmid:129415,PLASMID,ACLAME
gene:plasmid:129416,PLASMID,ACLAME
gene:plasmid:129417,PLASMID,ACLAME
gene:plasmid:129422,PLASMID,ACLAME
gene:plasmid:129423,PLASMID,ACLAME
gene:plasmid:129426,PLASMID,ACLAME
gene:plasmid:129431,PLASMID,ACLAME
gene:plasmid:129433,PLASMID,ACLAME
gene:plasmid:129434,PLASMID,ACLAME
gene:plasmid:129435,PLASMID,ACLAME
gene:plasmid:129437,PLASMID,ACLAME
gene:plasmid:129441,PLASMID,ACLAME
gene:plasmid:129442,PLASMID,ACLAME
gene:plasmid:129443,PLASMID,ACLAME
gene:plasmid:129444,PLASMID,ACLAME
gene:plasmid:129445,PLASMID,ACLAME
gene:plasmid:129446,PLASMID,ACLAME
gene:plasmid:129448,PLASMID,ACLAME
gene:plasmid:129449,PLASMID,ACLAME
gene:plasmid:129450,PLASMID,ACLAME
gene:plasmid:129452,PLASMID,ACLAME
gene:plasmid:129453,PLASMID,ACLAME
gene:plasmid:129454,PLASMID,ACLAME
gene:plasmid:129455,PLASMID,ACLAME
gene:plasmid:129456,PLASMID,ACLAME
gene:plasmid:129458,PLASMID,ACLAME
gene:plasmid:129460,PLASMID,ACLAME
gene:plasmid:129461,PLASMID,ACLAME
gene:plasmid:129462,PLASMID,ACLAME
gene:plasmid:129464,PLASMID,ACLAME
gene:plasmid:129465,PLASMID,ACLAME
gene:plasmid:129466,PLASMID,ACLAME
gene:plasmid:129467,PLASMID,ACLAME
gene:plasmid:129468,PLASMID,ACLAME
gene:plasmid:129469,PLASMID,ACLAME
gene:plasmid:129470,PLASMID,ACLAME
gene:plasmid:129471,PLASMID,ACLAME
gene:plasmid:129472,PLASMID,ACLAME
gene:plasmid:129473,PLASMID,ACLAME
gene:plasmid:129474,PLASMID,ACLAME
gene:plasmid:129475,PLASMID,ACLAME
gene:plasmid:129477,PLASMID,ACLAME
gene:plasmid:129478,PLASMID,ACLAME
gene:plasmid:129479,PLASMID,ACLAME
gene:plasmid:129480,PLASMID,ACLAME
gene:plasmid:129481,PLASMID,ACLAME
gene:plasmid:129483,PLASMID,ACLAME
gene:plasmid:129484,PLASMID,ACLAME
gene:plasmid:129485,PLASMID,ACLAME
gene:plasmid:129486,PLASMID,ACLAME
gene:plasmid:129491,PLASMID,ACLAME
gene:plasmid:129492,PLASMID,ACLAME
gene:plasmid:129493,PLASMID,ACLAME
gene:plasmid:129494,PLASMID,ACLAME
gene:plasmid:129495,PLASMID,ACLAME
gene:plasmid:129496,PLASMID,ACLAME
gene:plasmid:129497,PLASMID,ACLAME
gene:plasmid:129498,PLASMID,ACLAME
gene:plasmid:129499,PLASMID,ACLAME
gene:plasmid:129502,PLASMID,ACLAME
gene:plasmid:129506,PLASMID,ACLAME
gene:plasmid:129513,PLASMID,ACLAME
gene:plasmid:129514,PLASMID,ACLAME
gene:plasmid:129516,PLASMID,ACLAME
gene:plasmid:129519,PLASMID,ACLAME
gene:plasmid:129520,PLASMID,ACLAME
gene:plasmid:129521,PLASMID,ACLAME
gene:plasmid:129522,PLASMID,ACLAME
gene:plasmid:129523,PLASMID,ACLAME
gene:plasmid:129525,PLASMID,ACLAME
gene:plasmid:129526,PLASMID,ACLAME
gene:plasmid:129527,PLASMID,ACLAME
gene:plasmid:129531,PLASMID,ACLAME
gene:plasmid:129532,PLASMID,ACLAME
gene:plasmid:129533,PLASMID,ACLAME
gene:plasmid:129534,PLASMID,ACLAME
gene:plasmid:129536,PLASMID,ACLAME
gene:plasmid:129537,PLASMID,ACLAME
gene:plasmid:129538,PLASMID,ACLAME
gene:plasmid:129539,PLASMID,ACLAME
gene:plasmid:129540,PLASMID,ACLAME
gene:plasmid:129541,PLASMID,ACLAME
gene:plasmid:129542,PLASMID,ACLAME
gene:plasmid:129543,PLASMID,ACLAME
gene:plasmid:129544,PLASMID,ACLAME
gene:plasmid:129545,PLASMID,ACLAME
gene:plasmid:129548,PLASMID,ACLAME
gene:plasmid:129549,PLASMID,ACLAME
gene:plasmid:129550,PLASMID,ACLAME
gene:plasmid:129551,PLASMID,ACLAME
gene:plasmid:129552,PLASMID,ACLAME
gene:plasmid:129554,PLASMID,ACLAME
gene:plasmid:129555,PLASMID,ACLAME
gene:plasmid:129558,PLASMID,ACLAME
gene:plasmid:129559,PLASMID,ACLAME
gene:plasmid:129560,PLASMID,ACLAME
gene:plasmid:129563,PLASMID,ACLAME
gene:plasmid:129565,PLASMID,ACLAME
gene:plasmid:129567,PLASMID,ACLAME
gene:plasmid:129569,PLASMID,ACLAME
gene:plasmid:129570,PLASMID,ACLAME
gene:plasmid:129571,PLASMID,ACLAME
gene:plasmid:129572,PLASMID,ACLAME
gene:plasmid:129573,PLASMID,ACLAME
gene:plasmid:129575,PLASMID,ACLAME
gene:plasmid:129576,PLASMID,ACLAME
gene:plasmid:129577,PLASMID,ACLAME
gene:plasmid:129578,PLASMID,ACLAME
gene:plasmid:129580,PLASMID,ACLAME
gene:plasmid:129581,PLASMID,ACLAME
gene:plasmid:129582,PLASMID,ACLAME
gene:plasmid:129583,PLASMID,ACLAME
gene:plasmid:129584,PLASMID,ACLAME
gene:plasmid:129585,PLASMID,ACLAME
gene:plasmid:129586,PLASMID,ACLAME
gene:plasmid:129587,PLASMID,ACLAME
gene:plasmid:129588,PLASMID,ACLAME
gene:plasmid:129589,PLASMID,ACLAME
gene:plasmid:129590,PLASMID,ACLAME
gene:plasmid:129591,PLASMID,ACLAME
gene:plasmid:129592,PLASMID,ACLAME
gene:plasmid:129593,PLASMID,ACLAME
gene:plasmid:129595,PLASMID,ACLAME
gene:plasmid:129598,PLASMID,ACLAME
gene:plasmid:129599,PLASMID,ACLAME
gene:plasmid:129600,PLASMID,ACLAME
gene:plasmid:129612,PLASMID,ACLAME
gene:plasmid:129616,PLASMID,ACLAME
gene:plasmid:129617,PLASMID,ACLAME
gene:plasmid:129618,PLASMID,ACLAME
gene:plasmid:129619,IS,ACLAME
gene:plasmid:129630,PLASMID,ACLAME
gene:plasmid:129651,PLASMID,ACLAME
gene:plasmid:129660,PLASMID,ACLAME
